sort,partner_type,country,company,address,telephone,fax,img_filename,company_link
ASIA PACIFIC,distributor,South Korea,"UNICLASS KOREA Co.,Ltd","#30, B2, Yongsan i-pia, 9, Cheongpa-ro 20-gil, Yongsan-gu, Seoul, Korea",TEL: 02-3272-7931,FAX: 82-2-3272-7933,"UNICLASS KOREA Co.,Ltd.png",http://www.lanoasis.com/main/index.php
ASIA PACIFIC,distributor,South Korea,"ELC Networks Co., LTD","1207, 306, Digital-ro, Guro-gu, Seoul, Korea, 08378",TEL: 02-865-1138,FAX: 02-837-1138,"ELC Networks Co., LTD.png",http://www.elcnet.co.kr/
ASIA PACIFIC,distributor,Taiwan,Xander international corp. ,"5F., No.531, Zhongzheng Rd., Xindian Dist., New Taipei City 231, Taiwan (R.O.C.)",TEL: (02)2219-1600,FAX: ,Xander international corp. .png,http://www.xander.com.tw/
ASIA PACIFIC,distributor,Taiwan,SilverShine Technology Inc.,"Rm. 1, 2F., No.18, Ln. 48, Xingshan Rd.Neihu Dist., Taipei City 11469 Taiwan (R.O.C.)",TEL: +886-2-8792-6128,FAX: +886-2-8792-1858,SilverShine Technology Inc..png,http://www.silvershine.com.tw/
ASIA PACIFIC,distributor,Thailand,"Easy Net Co.,Ltd. ","162/45 Sudsawat road, Khwaeng Rat Burana Khet Rat Burana, Bangkok Thailand 10140",TEL: +66 (0)81722 6111,FAX: ,"Easy Net Co.,Ltd. .png",http://www.easynetwork.co.th
ASIA PACIFIC,distributor,Thailand,"DATA IN MOTION CO., LTD.","25 AlmaLink Building 9th, Soi Chidlom, Ploenchit Road, Lumpini, Patumwan, BKK 10330",TEL: +66-2-255-6691,FAX: +66-2-255-6690,"DATA IN MOTION CO., LTD..png",http://www.datainmotion.co.th/
ASIA PACIFIC,distributor,Vietnam,NETMARK DISTRIBUTION,"37 Sixth Street, Cityland Park Hills, Go Vap District, Ho Chi Minh City, Vietnam",TEL: (84) 906 814 510,FAX: ,NETMARK DISTRIBUTION.png,http://www.netmark.com.vn
ASIA PACIFIC,reseller,Brunei,C. F. KING Enterprise,"Unit 23, Bgn Awg Hj Matussin H.M. dan Hj Abdullah H.A. dan Adik-beradik Kg. Kiulap, Bandar Seri Begawan, Negara Brunei Darussalam BE1518","TEL: +673 2237382, 2237383, 7188180","FAX: +673 2237380, 2237381",C. F. KING Enterprise.png,https://www.cfking.com/
ASIA PACIFIC,reseller,Cambodia,Campura Triangulum Corporation,"No.63BIS, Street 608, Sangkart Beng Kok II, Khan Toul Kok, Phnom Penh, Cambodia.",TEL: (855) 23 884 242,FAX: (855) 23 884 814,Campura Triangulum Corporation.png,http://www.campura.com
ASIA PACIFIC,reseller,China,ELECTRONIC PRODUCT SERVICES,Ascendas-Xinsu Industrial Square 5 XingHan Street Block C Floor 4 Suzhou 215021 China,TEL: +86 512 67617757,FAX: ,ELECTRONIC PRODUCT SERVICES.png,https://www.epsglobal.com/manufacturers/edgecore
ASIA PACIFIC,reseller,Hong Kong,Skyware Communications Limited,"Flat 15, 24/F Wing Hing Industrial Building 83-93 Chai Wan Kok Street, Tsuen Wan NT, Hong Kong, China",TEL: (852) 31060868,FAX: (852) 35851011,Skyware Communications Limited.png,http://www.skyware.com.hk
ASIA PACIFIC,reseller,Indonesia,Netphonic Systems,"WTC Mangga Dua, 3A Floor, Suite C#49-52. JL Mangga Dua Raya No 8. Jakarta Pusat 14430, DKI Jakarta, Indonesia",TEL: +62 21 26692500,FAX: +62 21 26692500,Netphonic Systems.png,http://www.netphonic.co.id
ASIA PACIFIC,reseller,Japan,NEC Networks & System Integration Corporation,"1753,Shimonumabe, Nakahara-KU, Kawasaki, Kanagawa 211-8666, Japan",TEL: +81-44-435-1636,FAX: +81-44-435-1639,NEC Networks & System Integration Corporation.png,http://www.nesic.co.jp/solution/product/nw/edgecore.html
ASIA PACIFIC,reseller,Malaysia,VEMAX TECHNOLOGY,"LOT 10995, SECOND FLOOR, JALAN SUNGAI APONG, 93450 KUCHING SARAWAK MALAYSIA",TEL: +6016-8747515,FAX: ,VEMAX TECHNOLOGY.png,https://www.vemax.com.my/
ASIA PACIFIC,reseller,Malaysia,VESC Solution Sdn. Bhd,"Unit 8-3, Wisma PJ5 SOHO, Jalan SS 5D/6, Kelana Jaya, 47301 Petaling Jaya. Selangor Darul Ehsan.",TEL: 1700 81 5648,FAX: 1700 81 3625,VESC Solution Sdn. Bhd.png,http://vesc.com.my
ASIA PACIFIC,reseller,New Zealand,Snapper Network Distributors Ltd,"13 BEATRICE TINSLEY CRESCENT, ALBANY, AUCKLAND",TEL: +64 9 415 4182,FAX: +64 9 415 4137,Snapper Network Distributors Ltd.png,http://www.snappernet.co.nz
ASIA PACIFIC,reseller,Philippines,"Plexus Systems, Inc.","2F Fortress Hill Building, 297 Shaw Boulevard, Mandaluyong City 1550, Philippines",TEL: 63 2 5780371,FAX: ,"Plexus Systems, Inc..png",http://www.plexussystems.asia
ASIA PACIFIC,reseller,Philippines,Amihan Global Strategies ,"501, The Orient Square, Emerald Ave San Antonio, Pasig, 1600 Metro Manila",TEL: +632 801 9942,FAX: ,Amihan Global Strategies .png,http://amihan.net/
ASIA PACIFIC,reseller,Philippines,Porthub Integrated Solutions,Block 3 Lot 3 San Isidro Street Metroville Subdivision Brgy. Manggahan Pasig City Philippines 1611,TEL: +63 (2) 369 -1867,FAX: ,Porthub Integrated Solutions.png,http://www.porthub-is.asia
ASIA PACIFIC,reseller,Philippines,NETDOC DISTRIBUTION CORP,"Unit 907, #269 The Garden Heights, E. Rodriguez Sr. Ave, Quezon City",TEL: (632)570-9915,FAX: (632)570-9915,NETDOC DISTRIBUTION CORP.png,http://www.netdoc.ph/
ASIA PACIFIC,reseller,Singapore,ComWorth Solutions Pte Ltd,"81 Ubi Avenue 4, #06-02 UB.One Singapore 408830","TEL: +65 6748 2260, +65 6909 5198",FAX: ,ComWorth Solutions Pte Ltd.png,http://www.comworth.com.sg/
ASIA PACIFIC,reseller,Singapore,Winzolutions Pte Ltd,"1091 Lower Delta Road, #05-05, Singapore 169202",TEL: +65 67282446,FAX: +65 67282446,no_pic,
ASIA PACIFIC,reseller,Thailand,"Throughwave (Thailand) Co., Ltd.","43 Thai CC Tower, 23rd Floor, Room 234, South Sathorn Rd., Yannawa, Sathorn, Bangkok 10120",TEL: 66-2-210-0968-9 ,FAX: 66-2-210-0980,"Throughwave (Thailand) Co., Ltd..png",https://www.throughwave.co.th
ASIA PACIFIC,reseller,Thailand,Success Network,"81/19 Moo.5 Nawamin Road, Khongkum, Bangkum, Bangkok 10240 Thailand",TEL: 6681-659-4477,FAX: 02-973-1673,Success Network.png,http://www.success-network.co.th/
EMEA,distributor,Armenia,Redinet CJSC,"Azatutyan 24/7-24/8, 0014 Yerevan",TEL: +37410-249106,FAX: +37410-200540,Redinet CJSC.png,http://www.redinet.am
EMEA,distributor,Czech Republic,PROFIcomms s.r.o.,"Turgenevova 5, 625 00 Brno",TEL: +420548210406,FAX: +420548530745,PROFIcomms s.r.o..png,http://www.proficomms.cz
EMEA,distributor,Ethiopia,MART NETWORKS MIDDLE EAST FZC.,"P.O Box 38658, Rak Free Trade Zone, Ras Al Khaimah UAE﻿.",TEL: +971506271652,FAX: ,MART NETWORKS MIDDLE EAST FZC..png,http://www.mart-networks.com/
EMEA,distributor,Germany,3M Service GmbH,"3M Service Gmbh Ahrensburger Str. 8, 30659 Hannover",TEL: (0511) 74 01 92-0,FAX: ,3M Service GmbH.png,http://www.3m-services.de
EMEA,distributor,Germany,ADN – Advanced Digital Network Distribution GmbH,Josef-Haumann-Str. 10 44866 Bochum ,TEL: +49 2327 9912-0,FAX: +49 2327 9912-540,ADN – Advanced Digital Network Distribution GmbH.png,http://www.adn.de/
EMEA,distributor,Germany,Avanis GmbH,"Am Fichtenbrink 38, 33659 Bielefeld",TEL: +49 (0) 5 21/260 12-0 ,FAX: +49 (0) 5 21/260 12-12 ,Avanis GmbH.png,http://www.avanis.de
EMEA,distributor,Germany,Electronic Product Services,"Rheinstrasse 41, 64283 Darmstadt, Germany",TEL: +49 6151 501 2454,FAX: +49 6151 501 2454,Electronic Product Services.png,https://www.epsglobal.com/manufacturers/edgecore
EMEA,distributor,Germany,Stordis,"Rosenwiesstr. 17, 70567 Stuttgart - Germany",TEL: +49 (0)711 342 158 0,FAX: +49 (0)711 342 158 29,Stordis.png,https://www.stordis.com/
EMEA,distributor,Ireland,Electronic Product Services,"Unit 17 Kinsealy Business Park, Kinsealy, Co. Dublin, Ireland.",TEL: +353 1 8038918,FAX: +353 1 8038919,Electronic Product Services.png,https://www.epsglobal.com/manufacturers/edgecore
EMEA,distributor,Italy,Active Solution & Systems S.r.l.,"Via Angelo Moro 97, 20097 San Donato Milanese (Milano)",TEL: +39 02 514843 / +39 02 51621392,FAX: +39 02 51629377,Active Solution & Systems S.r.l..png,http://www.active.it
EMEA,distributor,Kenya,Mart Networks Kenya ,"2nd Floor Museum Hill Centre, Nairobi Kenya",TEL: +254 20 5135200,FAX: ,Mart Networks Kenya .png,http://www.mart-networks.com/
EMEA,distributor,Kuwait,MART NETWORKS MIDDLE EAST FZC.,"P.O Box 38658, Rak Free Trade Zone, Ras Al Khaimah UAE﻿.",TEL: +971506271652,FAX: ,MART NETWORKS MIDDLE EAST FZC..png,http://www.mart-networks.com/
EMEA,distributor,Morocco,ITHACA,Zone Industrielle Ouled Saleh Lot 61 - BP232 - 27 182 Bouskoura MAROC,TEL: (+212) 522 59 22 62,FAX: (+212) 522 59 22 61,ITHACA.png,http://www.ithacamaroc.com/
EMEA,distributor,Nigeria,Distilogix W. Africa,"15E, Muri Okunola Street,  (Harmony House) Victoria  Island, Lagos",TEL: ​+234 90 9809 7663,FAX: ,Distilogix W. Africa.png,https://distilogix.com/
EMEA,distributor,Nigeria,UnoTelos,"Plot 11 Block 29 Mayaki Usman Street Lekki Phase 1, Lagos Nigeria",TEL: +234 1 270 2708,FAX: +234 1 270 2708,UnoTelos.png,http://www.unotelos.com/home/
EMEA,distributor,Nigeria,Lopworks Limited,"3 Olaletan Street, Off Onigefon Road, Oniru, Victoria Island, Lagos",TEL: +234 1 342 2633,FAX: ,Lopworks Limited.png,http://www.lopworks.com/
EMEA,distributor,Oman,MART NETWORKS MIDDLE EAST FZC.,"P.O Box 38658, Rak Free Trade Zone, Ras Al Khaimah UAE﻿.",TEL: +971506271652,FAX: ,MART NETWORKS MIDDLE EAST FZC..png,http://www.mart-networks.com/
EMEA,distributor,Poland,C&C Partners Sp. z o.o,"Ul. 17 Stycznia 119, 121, 64-100 Leszno",TEL: +48655255511,FAX: +48655255557,C&C; Partners Sp. z o.o.png,http://www.ccpartners.pl
EMEA,distributor,Qatar,MART NETWORKS MIDDLE EAST FZC.,"P.O Box 38658, Rak Free Trade Zone, Ras Al Khaimah UAE﻿.",TEL: +971506271652,FAX: ,MART NETWORKS MIDDLE EAST FZC..png,http://www.mart-networks.com/
EMEA,distributor,Romania,Electronic Product Services,Calea Torontalului DN6 KM7 Timisoara 1900 Romania,TEL: +40 256 22 33 07,FAX: +40 256 22 33 07,Electronic Product Services.png,https://www.epsglobal.com/manufacturers/edgecore
EMEA,distributor,Rwanda,MART NETWORKS RWANDA,"Kigali City Tower, Kigali, Rwanda﻿",TEL: (+250) 788180100,FAX: ,MART NETWORKS RWANDA.png,http://www.mart-networks.com/
EMEA,distributor,Slovenia,Iskratel d.o.o.,Iskratel d.o.o.Ljubljanska c. 24a 4000 Kranj Slovenija,TEL: +386 (0)4 207 20 00,FAX: +386 (0)4 207 27 12,Iskratel d.o.o..png,http://www.iskratel.com/en
EMEA,distributor,South Africa,Atec,"Boardwalk Office Park, Unit G9, 107 Haymeadow Street, Faerie Glen, Pretoria 0043",TEL: +27(0)12 991 0960,FAX: +27(0)12 991 0950,Atec.png,http://www.atec.co.za
EMEA,distributor,South Africa,Miro Distribution,"Unit No.6, N1 Industrial Park, Landmarks Avenue, Kosmosdal Ext 11, Samrand 0157",TEL: +27(0)12 657 0960,FAX: +27(0)12 657 0944,Miro Distribution.png,http://www.miro.co.za
EMEA,distributor,Sweden,Direktronik Aktiebolag AB,"Konsul Johnson vag 15, 149 45 Stockholm",TEL: +46852400700,FAX: +46852018121,Direktronik Aktiebolag AB.png,http://www.direktronik.se
EMEA,distributor,Switzerland,BOLL Engineering AG,"Jurastrasse 58, CH-5430 Wettingen",TEL: +41 (0) 56 437 60 60,FAX: +41 (56) 427 29 29,BOLL Engineering AG.png,http://www.boll.ch
EMEA,distributor,Tanzania,Mart Networks Tanzania,"Chole Road, Plot No. 1935/4, Dar es Salaam Tanzania",TEL: (+255) 784 444490​,FAX: ,Mart Networks Tanzania.png,http://www.mart-networks.com/
EMEA,distributor,Tunisia,Distilogix N. Africa,"11 Avenue Hédi Khefecha  2080, Ariana",TEL: +216 24 485 120,FAX: ,Distilogix N. Africa.png,https://distilogix.com/
EMEA,distributor,Turkey,NOKTA ELEKTRONIK VE BILISIM SISTEMLERI SAN. TIC. A.S.,Perpa Ticaret Merkezi A Blok Kat.2 No.1 Okmeydanı - Şişli – Istanbul,TEL: +90 212 222 8780,FAX: +90 212 220 8544,NOKTA ELEKTRONIK VE BILISIM SISTEMLERI SAN. TIC. A.S..png,http://www.noktaelektronik.net/
EMEA,distributor,Turkey,Erete Bilgi Sistemleri Dis. Tic ve San. Ltd. Sti.,19 Mayıs Mah. Güven Sk. No: 4/2 Şişli- İSTANBUL,TEL: +902122128103,FAX: +902122128296,Erete Bilgi Sistemleri Dis. Tic ve San. Ltd. Sti..png,http://www.erete.com.tr
EMEA,distributor,Turkey,NETAS,Yenişehir Mah. Osmanlı Bulvarı No:11 34912 Kurtköy-Pendik / İstanbul,TEL: +90 (216) 522 20 00,FAX: +90 (216) 522 22 22,NETAS.png,http://www.netas.com.tr
EMEA,distributor,Uganda,MART NETWORKS UGANDA,"7th Floor, Regus Course View Towers, Kampala Uganda﻿",TEL: (+256) 703 834115,FAX: ,MART NETWORKS UGANDA.png,http://www.mart-networks.com/
EMEA,distributor,United Arab Emirates,Distilogix HQ (MEA),P.O.Box 483130 Office 222 - Technohub 2 Dubai Silicon Oasis United Arab Emirates,TEL: +971 4 343 4138,FAX: ,Distilogix HQ (MEA).png,https://distilogix.com/
EMEA,distributor,United Arab Emirates,MART NETWORKS MIDDLE EAST FZC.,"P.O Box 38658, Rak Free Trade Zone, Ras Al Khaimah UAE﻿.",TEL: +971506271652,FAX: ,MART NETWORKS MIDDLE EAST FZC..png,http://www.mart-networks.com/
EMEA,distributor,United Arab Emirates,Elite Value Added Distribution FZCO,"Techno Point Building, 2nd Floor, Office No. 210, Dubai Silicon Oasis, P.O.Box 123593 Dubai, UAE",TEL: +971 4 3704378,FAX: +971 4 3704378,Elite Value Added Distribution FZCO.png,http://www.elitevad.com/
EMEA,distributor,United Kingdom,Electronic Product Services,"14A Church Street, Caversham, Reading RG4 8AU, United Kingdom.",TEL: +44 118 9473622,FAX: +44 118 9473644,Electronic Product Services.png,https://www.epsglobal.com/manufacturers/edgecore
EMEA,distributor,United Kingdom,Mayflex,"Excel House, Junction Six Industria­l Park Electric Avenue Birmingham",TEL: +44 (0)121 326 7557,FAX: +44 (0)121 327 1537,Mayflex.png,http://www.mayflex.com/
EMEA,distributor,United Kingdom,Vesper Technologies Ltd,Units 5/6 Rugby Park Bletchley Road Stockport Cheshire SK4 3EJ,TEL: +44 (0)161 947 4321,FAX: +44 (0)161 947 4320,Vesper Technologies Ltd.png,http://www.vespertec.com
EMEA,reseller,Austria,Fionis GmbH,"Anton-Hubmann-Platz 2, 8071 Goessendorf",TEL: +43 3135 40 960-0,FAX: +43 3135 40 960-20,Fionis GmbH.png,http://www.fionis.at
EMEA,reseller,Finland,Data Monitor Communication Finland Oy,"Ruosilankuja 6, FI-00390 Helsinki, Finland",TEL: +35892252270,FAX: +358922438430,Data Monitor Communication Finland Oy.png,http://www.datamonitor.fi
EMEA,reseller,France,CELERIS Informatique,"6 rue de l’Abbé Hazard, 92 000 NANTERRE, France",TEL: 01 71 12 60 23,FAX: 01 71 12 60 25,CELERIS Informatique.png,http://www.celeris.fr/
EMEA,reseller,France,Alyseo,44 rue Armand Carrel 93100 Montreuil !V France,TEL: +33 (0)1 83 35 10 10,FAX: +33 (0)1 83 35 10 10,Alyseo.png,https://www.alyseo.com/
EMEA,reseller,Germany,primeLine Solutions GmbH,Zur Bauernwiese 25 32549 Bad Oeynhausen,TEL: +49 5731 8694-400,FAX: +49 5731 8694-413,primeLine Solutions GmbH.png,https://www.primeline-solutions.com/de/
EMEA,reseller,Germany,Xantaro Deutschland GmbH,"An der Alster 3, 20099 Hamburg, Germany",TEL: +49 (0)40 4134980,FAX: +49 (0)40 413498 444,Xantaro Deutschland GmbH.png,https://www.xantaro.net/
EMEA,reseller,Germany,NAVUM GmbH,"Am Anger 3, 82237 Wörthsee, Germany",TEL: +49 (0) 8153 98409 0,FAX: +49 (0) 8153 98409 200,NAVUM GmbH.png,https://www.navum.de/
EMEA,reseller,Germany,Inter Data Systems GmbH,"Wilhelm-Röntgen-Str. 11 63477 Maintal, Germany",TEL: +49 (0)6109 7668-0,FAX: +49 (0)6109 7668-300,Inter Data Systems GmbH.png,https://www.idsgmbh.com/
EMEA,reseller,Germany,DELTA Computer Products GmbH,Rontgenstr. 4 D-21465 Reinbek bei Hamburg,TEL: +49(0)40 / 300 672 - 0,FAX: +49(0)40 / 300 672 - 11,DELTA Computer Products GmbH.png,http://www.delta.de/
EMEA,reseller,Germany,OSYON GmbH,"Pfuelstr 5, 10997 Berlin",TEL: +493031013532,FAX: +493031013555,OSYON GmbH.png,http://www.osyon.com
EMEA,reseller,Ireland,MBUZZ Europe,"9 Exchange Place, I.F.S.C., Dublin 1, D01N4X6, Ireland",TEL: +34 616 299 200,FAX: ,MBUZZ Europe.png,http://www.mbuzzeurope.com/
EMEA,reseller,Israel,ScaleIL LTD,"6 Hanagar Street, Hod HaSharon 45241, Israel",TEL: 04-821-2676,FAX: ,ScaleIL LTD.png,https://www.scaleil.com/
EMEA,reseller,Israel,LANTECH Systems & Communications Ltd.,"46 Ben Gurion Street, Herzliya",TEL: +972(0)-995-66-908,FAX: +972(0)-995-67-154,LANTECH Systems & Communications Ltd..png,http://www.lan-tech.co.il
EMEA,reseller,Italy,ELECTRONIC'S TIME SRL,VIA MADONNA PICCOLA 32RQ 74015 MARTINA FRANCA (TA),TEL: 0039 080 4802711,FAX: 0039 080 4802700,ELECTRONIC'S TIME SRL.png,http://www.electronicstime.it
EMEA,reseller,Lithuania,Balticum TV Ltd.,"Taikos avn 101D, LT-94198 Klaipeda, Lithuania",TEL: +37046390700,FAX: +37046342815,Balticum TV Ltd..png,http://www.balticum.lt/
EMEA,reseller,Netherlands,Exclusive Networks,Ekkersrijt 4601 5692 DR SON,TEL: +31 499 462121,FAX: +31 499 462120,Exclusive Networks.png,http://www.exclusive-networks.nl 
EMEA,reseller,Netherlands,Travion IT Distribution,"Stationsstraat 31, 6515 AA Nijmegen",TEL: +31243578822,FAX: +31243578833,Travion IT Distribution.png,http://www.travion.nl
EMEA,reseller,Netherlands,Xentech B.V.,"Vredeweg 46 / D1, 1505-HH, Zaandam, Netherlands",TEL: +31-(0)85 002 0796,FAX: ,Xentech B.V..png,http://www.xentech.nl/
EMEA,reseller,Netherlands,Circle B,"Zekeringstraat 17, 1014 BM, Amsterdam, The Netherlands",TEL: +31 85 800 0430,FAX: ,no_pic,https://www.circleb.eu/
EMEA,reseller,Netherlands,Storage Quality Solution,"Korenpad 6, 6534 AS Nijmegen, The Netherlands",TEL: +31 24 8200334,FAX: ,Storage Quality Solution.png,http://www.storageqs.com/
EMEA,reseller,Portugal,TELCARIA,"Barrionuevo 8, Local 1, 28911 Leganés (Madrid), Spain",TEL: +34 910261014,FAX: +34 910261014,TELCARIA.png,https://www.telcaria.com/
EMEA,reseller,Slovenia,REAL security d.o.o,"Zolgarjeva ulica 17, 2000 Maribor, Slovenia",TEL: 386 2 234 74 74,FAX: 386 2 234 74 75,REAL security d.o.o.png,https://www.real-sec.com/
EMEA,reseller,South Africa,AlphaEdge Technologies,"646 Kango Street, Erasmus Kloof x 3, Pretoria, South Africa",TEL: +27 (0) 66 235 2700,FAX: ,AlphaEdge Technologies.png,http://www.alphaedge.co.za/
EMEA,reseller,Spain,Telcaria,"Barrionuevo 8, Local 1, 28911 Leganés (Madrid), Spain",TEL: +34 910261014,FAX: +34 910261014,Telcaria.png,https://www.telcaria.com/
EMEA,reseller,Turkey,Ergen Elektronik,Üçgen Mah. 97 Sok. Cangar Apt. No:6/B-C Muratpaşa / Antalya,TEL: +90 242 247 1200,FAX: +90 242 247 4377,Ergen Elektronik.png,https://www.ergenelektronik.com/
EMEA,reseller,United Kingdom,Utopia Technology Limited,"15 Carnarvon Street, Manchester M3 1HJ, United Kingdom",TEL: 0333 241 2526,FAX: ,Utopia Technology Limited.png,http://www.utopiatechnology.co.uk/
EMEA,reseller,United Kingdom,Telent Technology Services Ltd,"Point 3, Haywood Road, Warwick, CV34 5AH",TEL: +44 (0)1926 693 000,FAX: ,Telent Technology Services Ltd.png,https://telent.com/
NORTH AMERICA,distributor,Canada,Planiselect Inc.,"653, ave Léo-Lacombe Laval (Québec) H7N 3Y7",TEL: 450-663-3973,FAX: ,Planiselect Inc..png,https://www.planiselect.com/
NORTH AMERICA,distributor,Canada,E.C.I. NETWORKS INC.,"6500, Trans-Canadian Highway, Suite 400 Pointe-Claire, QC, CANADA",TEL: 1-800-967-1672,FAX: ,E.C.I. NETWORKS INC..png,https://ecin.ca/
NORTH AMERICA,distributor,Canada,info-logic ebm,"1400, boulevard Marie-Victorin, suite 103  St-Bruno (Québec) J3V 6B9  Canada",TEL: 1 450 653-7575 ,FAX: 1 450 441-6224,info-logic ebm.png,http://www.infologicebm.com
NORTH AMERICA,distributor,United States,ASI,"48289 Fremont Blvd. Fremont, CA 94538",TEL: (510) 226-8000,FAX: (510) 445-4157,ASI.png,http://www.asipartner.com/
NORTH AMERICA,distributor,United States,Avnet,"2211 S. 47th St. Phoenix, Arizona 85034 USA",TEL: 480-643-2000,FAX: ,Avnet.png,http://www.avnet.com
NORTH AMERICA,distributor,United States,CTD,"1200 Woodruff Rd, F9 Greenville, SC 29607",TEL: 1-864-527-9600,FAX: 1-864-527-9610,CTD.png,http://www.ctdconnect.com
NORTH AMERICA,distributor,United States,EPS Global LLC,7920 Georgetown Road  Suite 800  Indianapolis  Indiana 46268  USA,TEL: 1-317-222- 6334,FAX: ,EPS Global LLC.png,https://www.epsglobal.com/manufacturers/edgecore
